,name_e,id,name,p_img,p_name,p_tooltip,q_img,q_name,q_cool,q_cost,q_range,q_tooltip,w_img,w_name,w_cool,w_cost,w_range,w_tooltip,e_img,e_name,e_cool,e_cost,e_range,e_tooltip,r_img,r_name,r_cool,r_cost,r_range,r_tooltip
38,Gwen,887,그웬,Gwen_Passive.png,가위 난도질,그웬의 기본 공격이 대상의 체력에 비례해 추가 마법 피해를 입힙니다. 챔피언을 상대로 기본 공격 시 해당 피해의 일부만큼 체력을 회복합니다. ,GwenQ.png,싹둑싹둑!,"[6.5, 5.75, 5, 4.25, 3.5]",40,450,"기본 지속 효과: 그웬이 적에게 기본 공격을 적중시키면 가위질이 1회 중첩됩니다. (최대 4회, ?초 동안 지속)사용 시: 중첩된 가위질 횟수를 소모합니다. 그웬이 한 번 가위질하여 ?의 마법 피해를 입히고, 중첩된 가위질 횟수만큼 다시 가위질한 후 마지막 가위질로 ?의 마법 피해를 입힙니다. 가위질할 때마다 중앙에 있는 적에게는 고정 피해를 입히고 적중 시 가위 난도질을 적용합니다.",GwenW.png,신성한 안개,"[22, 20, 18, 16, 14]",60,0,그웬이 신성한 안개를 소환하여 안개 밖에 있는 모든 적(포탑 제외)으로부터 대상으로 지정될 수 없는 상태가 됩니다. 이 효과는 ?초 동안 또는 그웬이 안개를 떠날 때까지 지속됩니다. 안개 속에서는 그웬의 방어력과 마법 저항력이 ? 증가합니다.이 스킬을 한 번 재사용하면 안개를 불러올 수 있습니다. 그웬이 처음으로 안개를 떠나려고 하면 스킬이 자동으로 재사용됩니다.,GwenE.png,돌격가위,"[13, 12, 11, 10, 9]",35,400,"그웬이 돌진하며 ?초 동안 기본 공격을 강화합니다.강화된 기본 공격은 공격 속도가 ?, %i:OnHit% 적중 시 마법 피해가 ?, 사거리가 ? 증가합니다. 적에게 처음 적중 시 이 스킬의 재사용 대기시간을 ?%만큼 돌려받습니다.",GwenR.png,바느질,"[120, 100, 80]",100,1200,"첫 번째 사용: 바늘을 던져 적중한 모든 적에게 ?의 마법 피해를 입히고, ?초 동안 ?% 둔화시키며, 가위 난도질을 적용합니다. 이 스킬을 사용한 후 6초 안에 기본 공격이나 스킬로 적을 적중시키면 재사용할 수 있습니다. (최대 2회 추가 사용 가능)두 번째 사용: 바늘을 세 개 발사하여 ?의 마법 피해를 입힙니다.세 번째 사용: 바늘을 다섯 개 발사하여 ?의 마법 피해를 입힙니다."
39,Hecarim,120,헤카림,Hecarim_Passive.png,출정,헤카림의 공격력이 추가 이동 속도의 일정 비율만큼 증가합니다.,HecarimQ.png,회오리 베기,"[4, 4, 4, 4, 4]",28/31/34/37/40,350,헤카림이 주위 적들을 베어 ?의 물리 피해를 입힙니다. 이 스킬이 적중하면 효과가 중첩되어 ?초 동안 피해량이 ?% 늘어나고 이 스킬의 재사용 대기시간이 ?초 감소합니다. 최대 ?번까지 중첩됩니다.,HecarimW.png,공포의 망령,"[18, 18, 18, 18, 18]",50/60/70/80/90,525,헤카림이 ?초에 걸쳐 주변 적에게 ?의 마법 피해를 입히고 주변 적들이 헤카림에게 받은 피해량의 ?%와 헤카림의 아군에게 받은 피해량의 ?%만큼 체력을 회복합니다.,HecarimE.png,파멸의 돌격,"[20, 19, 18, 17, 16]",60,300,헤카림이 유체화 상태가 되어 이동 속도가 ?% 증가합니다. 이동 속도는 ?초에 걸쳐 ?%까지 증가합니다. 다음 기본 공격은 뒤로 밀어내며 ?~?의 물리 피해를 입힙니다. 뒤로 밀려나는 거리와 피해량은 이 스킬을 사용하는 중 이동한 거리에 비례합니다.,HecarimR.png,그림자의 맹습,"[140, 120, 100]",100,50000,헤카림이 유령 기수들을 소환하며 전방으로 돌격하여 ?의 마법 피해를 입힙니다. 돌격이 끝나면 충격파를 발산하여 돌격한 거리에 비례해 최소 ?초에서 최대 ?초 동안 공포에 질리게 합니다.
40,Heimerdinger,74,하이머딩거,Heimerdinger_Passive.png,마법공학 전문가,아군 포탑이나 하이머딩거가 설치한 포탑 주변에서 이동 속도가 증가합니다.,HeimerdingerQ.png,H-28 G 진화형 포탑,"[1, 1, 1, 1, 1]",20,350,하이머딩거가 근처 적을 공격하는 포탑을 세웁니다. 포탑은 한 번에 ?개까지 세울 수 있으며 천천히 충전됩니다. 최대로 충전되면 더 강력한 공격을 가합니다.하이머딩거가 너무 멀리 떨어지면 포탑은 8초 후 작동을 멈춥니다.이 스킬은 ?회까지 충전됩니다.,HeimerdingerW.png,마법공학 초소형 로켓,"[11, 10, 9, 8, 7]",50/60/70/80/90,1325,하이머딩거가 ?개의 로켓을 발사하여 처음 적중한 적에게 ?의 마법 피해를 입힙니다. 여러 발을 맞게 되면 받는 피해가 감소합니다.(최대 피해량: ?의 마법 피해)챔피언에게 적중하는 로켓 하나당 근처 포탑이 20% 충전됩니다.,HeimerdingerE.png,CH-2 전자폭풍 수류탄,"[12, 12, 12, 12, 12]",85,970,하이머딩거가 수류탄을 던져 일정 지역에 ?의 마법 피해를 입히고 ?초 동안 ?% 둔화시킵니다. 중앙에 있는 적들은 ?초 동안 기절합니다.적 챔피언을 맞히면 근처의 포탑이 최대로 충전됩니다.,HeimerdingerR.png,업그레이드!!!,"[100, 85, 70]",100,1,"하이머딩거가 다음에 사용하는 궁극기 이외의 스킬을 강화합니다.H-28Q 최첨단 포탑: 하이머딩거의 최대 포탑 개수에 포함되지 않는 강화된 포탑을 8초 동안 배치해 기본 사격마다 ?의 마법 피해, 충전 사격마다 ?의 마법 피해를 입힙니다. 포탑 공격은 대상 지역에 피해를 입히며, 2초 동안 25% 둔화시킵니다. 포탑은 군중 제어기에 면역이 됩니다.마법공학 로켓 연사: 로켓이 4회 연속 발사되며 각각 ?의 마법 피해를 입힙니다. 챔피언과 정글 몬스터가 추가 로켓으로 받는 피해량이 감소하고 미니언이 추가 로켓으로 받는 피해량은 증가합니다. 최대 피해량: ?의 마법 피해 CH-3X 전격 수류탄: 세 번 튕기며 전류를 방출하는 반동 수류탄을 던져 ?의 마법 피해를 입힙니다. 기절과 둔화 적용 범위가 모두 커집니다.재사용 시: 이 스킬을 취소합니다."
41,Illaoi,420,일라오이,Illaoi_Passive.png,고대신의 예언자,"일라오이와 그녀의 숙주는 근처의 통과할 수 없는 지형에 촉수를 소환합니다. 촉수는 영혼과 숙주, 그리고 혹독한 가르침 스킬의 희생양을 공격합니다. 촉수에게 맞는 적들은 물리 피해를 입습니다.",IllaoiQ.png,촉수 강타,"[10, 9, 8, 7, 6]",40/45/50/55/60,850,기본 지속 효과: 후려치기의 피해량이 ?% 증가합니다. (현재 ?의 물리 피해)사용 시: 일라오이가 성상을 휘둘러 촉수가 전방에 후려치기를 사용하게 합니다.,IllaoiW.png,혹독한 가르침,"[4, 4, 4, 4, 4]",30,400,일라오이가 다음 기본 공격 시 대상에게 돌진해 최대 체력의 ?에 해당하는 물리 피해를 추가로 입힙니다. 일라오이가 공격하면 근처의 촉수도 함께 대상에게 후려치기를 사용합니다.,IllaoiE.png,영혼의 시험,"[16, 15, 14, 13, 12]",35/40/45/50/55,900,"일라오이가 ?초 동안 적 챔피언에게서 영혼을 분리합니다. 영혼에게 피해를 입히면 피해량의 ?가 해당 적 챔피언에게 전이됩니다.만약 영혼이 처치당하거나 대상이 일정 범위를 벗어나면, ?초 동안 대상에게 표식을 남기며 ?초 동안 ?% 둔화시킵니다. 표식이 남은 적은 ?초마다 촉수를 소환합니다.촉수는 ?초마다 영혼과 표식이 남은 적에게 후려치기를 사용합니다.",IllaoiR.png,믿음의 도약,"[120, 95, 70]",100,450,"일라오이가 성상을 바닥에 내리쳐 근처 적들에게 ?의 물리 피해를 입히고, 피해를 입는 적 챔피언 한 명당 촉수를 하나씩 소환합니다.이후 촉수는 ?초 동안 후려치기의 사용 속도가 50% 빨라지고 대상으로 지정할 수 없게 됩니다. 혹독한 가르침의 재사용 대기시간이 2초로 줄어듭니다."
42,Irelia,39,이렐리아,Irelia_Passive.png,아이오니아의 열정,"이렐리아의 스킬이 적에게 적중하면 중첩이 쌓이며, 중첩에 따라 추가 공격 속도가 적용됩니다. 최대 중첩이 쌓이면 적중 시 피해도 증가합니다.",IreliaQ.png,칼날 쇄도,"[11, 10, 9, 8, 7]",20,600,이렐리아가 적에게 돌진해 ?의 물리 피해를 입히고 ?의 체력을 회복합니다. 적이 죽거나 불안정 상태일 경우 재사용 대기시간이 초기화됩니다.미니언에게는 ?의 피해를 입힙니다.,IreliaW.png,저항의 춤,"[20, 18, 16, 14, 12]",70/75/80/85/90,825,"충전 시작 시: 이렐리아가 최대 ?초 동안 방어 태세에 돌입하여 행동할 수 없게 되지만 받는 물리 피해가 ?%, 마법 피해가 ?% 감소합니다.발사 시: 이렐리아가 검을 날려 ?의 물리 피해를 입힙니다. 피해량은 충전 시간에 비례하여 최대 ?만큼 증가합니다.",IreliaE.png,쌍검협무,"[18, 16.5, 15, 13.5, 12]",50,850,이렐리아가 지면에 검을 던집니다. ?초 내에 스킬을 재사용할 수 있습니다. 재사용 시: 이렐리아가 두 번째 검을 던진 후 두 검이 서로를 향해 날아들어 ?초 동안 적을 기절시키고 ?의 마법 피해를 입힙니다. 챔피언과 대형 정글 몬스터는 ?초 동안 불안정 상태가 됩니다.,IreliaR.png,선봉진격검,"[140, 120, 100]",100,950,이렐리아가 칼날 다발을 날려 ?의 마법 피해를 입히고 챔피언 및 대형 정글 몬스터를 ?초 동안 불안정 상태로 만듭니다. 칼날 다발은 결계 형태로 폭발하여 ?초 동안 첫 번째 적중한 챔피언을 둘러쌉니다. 결계는 ?의 마법 피해를 입히고 적을 ?초 동안 ?% 둔화시킵니다.칼날 쇄도의 기본 재사용 대기시간이 ?초 감소합니다.
43,Ivern,427,아이번,Ivern_Passive.png,숲의 친구,"아이번은 에픽 몬스터를 제외한 몬스터와는 서로 공격할 수 없지만, 대신 정글 캠프에 마법의 덤불을 심을 수 있습니다. 덤불은 시간이 지나면서 점점 자라나고, 완전히 자라난 후 클릭하면 몬스터가 풀려나며 아이번은 골드와 경험치를 얻게 됩니다. 5레벨 이상부터는 정글 몬스터가 주는 이로운 효과를 아군과 공유할 수 있습니다.",IvernQ.png,덩굴뿌리,"[14, 13, 12, 11, 10]",60,1075,아이번이 덩굴뿌리를 던져 ?의 마법 피해를 입히고 처음으로 적중한 적을 ?초 동안 속박합니다. 속박된 적을 공격한 아군은 공격 사거리 안으로 돌진합니다.,IvernW.png,수풀 가꾸기,"[0.5, 0.5, 0.5, 0.5, 0.5]",30,1150,기본 지속 효과: 아이번이 수풀 속에 있거나 수풀을 떠난 후 3초 안에 기본 공격 시 ?의 마법 피해를 추가로 입힙니다.사용 시: 아이번이 ?초 동안 유지되는 수풀을 심고 3초 동안 수풀을 드러냅니다.,IvernE.png,보호의 씨앗,"[11, 10, 9, 8, 7]",70,750,아이번이 아군에게 ?의 피해를 흡수하는 보호막을 씌웁니다. 보호막은 2초 후 폭발하며 적에게 ?의 마법 피해를 입히고 ?초 동안 ?% 둔화시킵니다.,IvernR.png,데이지!,"[140, 130, 120]",100,600,아이번이 ?초 동안 파수꾼 친구 데이지를 소환합니다. 데이지는 같은 챔피언을 연속으로 세 번 공격하면 충격파를 사용해 ?의 마법 피해를 입히고 적을 1초간 공중으로 띄웁니다. (재사용 대기시간 3초)데이지 능력치체력 ?방어력 ?마법 저항력 ?공격력 ?재사용 시: 데이지를 직접 조종할 수 있습니다.
44,Janna,40,잔나,Janna_Passive.png,순풍,잔나의 기본 이동 속도가 증가합니다. 근처의 아군 챔피언이 잔나를 향해 움직이면 같은 효과를 받습니다.또한 잔나의 기본 공격은 추가 이동 속도에 비례하여 추가 마법 피해를 입힙니다.,JannaQ.png,울부짖는 돌풍,"[12, 12, 12, 12, 12]",60/80/100/120/140,1700,"잔나가 ?초에 걸쳐 점점 세진 후 경로를 따라 이동하는 회오리바람을 소환합니다. 회오리바람은 ?의 마법 피해를 입히고 ?초 동안 공중으로 띄워 올립니다. 거리, 피해량, 띄워 올리기 지속시간은 회오리바람이 커진 정도에 비례해 증가합니다. 재사용하면 회오리바람이 더 일찍 날아갑니다.",JannaW.png,서풍,"[8, 7.5, 7, 6.5, 6]",50/60/70/80/90,550,기본 지속 효과: 스킬이 재사용 대기 상태가 아닐 때 잔나의 이동 속도가 ?% 증가하며 유체화 상태가 됩니다.사용 시: 잔나의 원소가 적을 공격하여 ?초 동안 ?% 둔화시키고 ?의 마법 피해를 입힙니다.,JannaE.png,폭풍의 눈,"[16, 15, 14, 13, 12]",70/80/90/100/110,800,잔나가 아군 챔피언이나 포탑에 ?의 피해를 흡수하는 보호막을 부여합니다. 이 보호막은 ?초에 걸쳐 서서히 사라집니다. 대상은 보호막이 지속되는 동안 ?의 공격력을 얻습니다.잔나가 적 챔피언을 둔화시키거나 공중에 띄우면 이 스킬의 재사용 대기시간이 ?% 감소합니다.,JannaR.png,계절풍,"[150, 135, 120]",100,725,잔나가 마법의 계절풍을 소환하여 주변 적들을 뒤로 밀어낸 후 ?초에 걸쳐 주변 아군의 체력을 ?만큼 회복시킵니다. 이동하거나 스킬을 사용하면 계절풍이 일찍 사라집니다.
45,JarvanIV,59,자르반 4세,JarvanIV_Passive.png,전장의 군가,자르반의 첫 기본 공격이 적의 현재 체력에 비례하여 추가 물리 피해를 입힙니다. 이 효과에 이미 당한 적은 몇 초 동안 이 효과로 인한 피해를 다시 받지 않습니다.,JarvanIVQ.png,용의 일격,"[10, 9, 8, 7, 6]",45/50/55/60/65,770,자르반 4세가 창을 길게 늘려 ?의 물리 피해를 입히고 ?초 동안 방어력을 ?% 감소시킵니다.창이 데마시아의 깃발에 맞으면 자르반 4세가 깃발을 향해 돌진하며 경로에 있는 적들을 0.75초 동안 공중에 띄웁니다.,JarvanIVW.png,황금빛 방패,"[9, 9, 9, 9, 9]",30,625,자르반 4세가 방패를 소환해 ?초 동안 근처 적들을 ?% 둔화시키고 적중한 적 챔피언 하나당 ?의 피해를 흡수하는 보호막을 얻습니다.,JarvanIVE.png,데마시아의 깃발,"[12, 12, 12, 12, 12]",55,860,기본 지속 효과: 자르반 4세의 공격 속도가 ?% 상승합니다.사용 시: 자르반 4세가 지면에 깃발을 던져 ?의 마법 피해를 입히고 ?초 동안 깃발 근처 아군의 공격 속도를 ?% 상승시킵니다.,JarvanIVR.png,대격변,"[120, 105, 90]",100,650,자르반 4세가 적 챔피언을 향해 용감하게 뛰어들어 대상과 근처 적들에게 ?의 물리 피해를 입히고 ?초 동안 지나갈 수 없는 벽으로 둘러쌉니다.스킬을 재사용하면 벽을 무너뜨릴 수 있습니다.
46,Jax,24,잭스,Jax_Passive.png,가차없는 맹공,잭스가 연속해서 기본 공격을 가하면 공격 속도가 상승합니다.,JaxQ.png,도약 공격,"[8, 7.5, 7, 6.5, 6]",65,700,"잭스가 아군 또는 적 유닛, 와드를 향해 도약합니다. 적인 경우 ?의 물리 피해를 입힙니다.",JaxW.png,무기 강화,"[7, 6, 5, 4, 3]",30,300,잭스가 무기에 힘을 모아 다음 기본 공격이나 도약 공격 시 ?의 마법 피해를 추가로 입힙니다.이 스킬은 피해를 입힐 때 효과가 발동합니다.,JaxE.png,반격,"[14, 12.5, 11, 9.5, 8]",50/60/70/80/90,300,"잭스가 ?초간 방어 태세에 들어가 기본 공격을 회피하고, 광역 스킬로부터 받는 피해가 ?% 감소합니다.?초가 지나거나 스킬을 재사용하면 근처 적들에게 ?의 물리 피해를 입히고 ?초 동안 기절시킵니다. 잭스가 회피한 기본 공격 1회당 피해량이 ?% 증가합니다. (최대 ?%)",JaxR.png,달인의 저력,"[80, 80, 80]",100,100,"기본 지속 효과: 세 번째 기본 공격을 가할 때마다 ?의 마법 피해를 추가로 입힙니다.사용 시: 잭스가 결의를 다져 ?초 동안 방어력이 ?, 마법 저항력이 ? 증가합니다."
47,Jayce,126,제이스,Jayce_Passive.png,마법공학 축전기,제이스가 무기를 바꾸면 잠시 동안 이동 속도가 증가합니다.,JayceQ.png,하늘로! / 전격 폭발,"[16, 14, 12, 10, 8, 6]",40,600,머큐리 해머: 제이스가 적에게 도약해 주변 적들에게 ?의 물리 피해를 입히고 ?초 동안 ?% 둔화시킵니다.,JayceW.png,전류 역장 / 초전하,"[10, 10, 10, 10, 10, 10]",40,285,머큐리 해머 - 기본 지속 효과: 해머로 공격 시 제이스의 마나가 ? 회복됩니다.머큐리 해머 - 사용 시: 제이스가 전류 오오라를 생성해 ?초 동안 ?의 마법 피해를 입힙니다.,JayceE.png,천둥 강타 / 가속 관문,"[20, 18, 16, 14, 12, 10]",55,240,해머 형태: 제이스가 해머를 휘둘러 대상을 뒤로 밀어내고 ?+대상 최대 체력의 ?%에 해당하는 마법 피해를 입힙니다.,JayceR.png,머큐리 캐논 / 머큐리 해머,[6],0,600,머큐리 해머: 제이스가 무기를 원거리 공격용 머큐리 캐논으로 변환하고 새로운 스킬을 사용할 수 있게 됩니다. 제이스의 다음 기본 공격은 ?초 동안 대상의 마법 저항력과 방어력을 ? 감소시킵니다.
48,Jhin,202,진,Jhin_Passive.png,속삭임,"'속삭임'이라고 불리는 진의 총은 우월한 살상력을 위해 설계된 정밀 기계입니다. 발사 속도는 고정되어 있으며 총탄은 네 발만 장전됩니다. 네 발째 총탄은 진의 어두운 마법에 물들어 항상 치명타를 입히며 잃은 체력에 비례한 피해를 추가로 입힙니다. 속삭임으로 치명타를 발동시키면, 진의 이동 속도가 잠깐 동안 크게 상승합니다.",JhinQ.png,춤추는 유탄,"[7, 6.5, 6, 5.5, 5]",40/45/50/55/60,550,"진이 폭탄을 던져 ?의 물리 피해를 입힌 후 아직 폭탄에 맞지 않은 근처의 적에게 튕깁니다.폭탄은 최대 ?번까지 적을 맞힐 수 있으며, 폭탄으로 적을 처치할 때마다 그다음 타격의 피해량이 ?%씩 늘어납니다.",JhinW.png,살상연희,"[12, 12, 12, 12, 12]",50/60/70/80/90,3000,진이 원거리 공격을 가하여 처음 적중한 챔피언에게 ?의 물리 피해를 입히고 경로상에 있는 다른 모든 적에게 ?의 피해를 입힙니다.이 스킬로 아군 챔피언에게 공격당한 챔피언을 ?초 안에 공격했다면 대상을 ?초 동안 속박하고 속삭임의 이동 속도가 증가합니다.,JhinE.png,강제 관람,"[2, 2, 2, 2, 2]",30/35/40/45/50,750,기본 지속 효과: 진이 적 챔피언을 처치하면 해당 위치에 연꽃 함정이 설치되어 폭발합니다.사용 시: 진이 ?분 동안 유지되는 보이지 않는 연꽃 함정을 설치합니다. 함정을 밟은 적은 ?% 둔화됩니다. 함정은 ?초 후 폭발하여 ?의 마법 피해를 입힙니다.이 스킬은 2회까지 충전됩니다. (?초마다 충전),JhinR.png,커튼 콜,"[120, 105, 90]",100,25000,"진이 자세를 잡고 정신을 집중해 4발의 강력한 탄환을 발사하며, 각 탄환은 처음 적중한 챔피언에게 대상이 잃은 체력에 비례해 ?~?의 물리 피해를 입히고 ?초 동안 ?% 둔화시킵니다. 4번째 총탄은 치명타가 발동되며 ?%만큼 피해를 입힙니다."
49,Jinx,222,징크스,Jinx_Passive.png,신난다!,징크스는 적 챔피언이나 에픽 정글 몬스터 처치에 관여하거나 구조물 파괴를 도우면 이동 속도와 공격 속도가 대폭 상승합니다.,JinxQ.png,휘릭휘릭!,"[0.9, 0.9, 0.9, 0.9, 0.9]",16/17/18/19/20,600,징크스가 생선대가리 로켓 런처와 빵야빵야 미니건을 변환합니다.로켓 런처로 기본 공격 시 마나를 소모하여 대상과 주변 적들에게 ?의 물리 피해를 입힙니다. 추가 공격 속도는 ?% 느려지지만 사거리는 ?만큼 증가합니다.미니건으로 기본 공격 시 ?초 동안 공격 속도가 상승합니다. 이 효과는 최대 ?번까지 중첩됩니다. (최대 +?% %i:scaleAS%),JinxW.png,빠직!,"[8, 7, 6, 5, 4]",50/60/70/80/90,1450,징크스가 전기 충격파를 발사하여 처음 맞힌 적에게 ?의 물리 피해를 입히고 ?초 동안 ?% 둔화시키며 위치를 드러냅니다.,JinxE.png,와작와작 뻥!,"[24, 20.5, 17, 13.5, 10]",90,925,징크스가 ?초간 유지되는 와작와작 지뢰 3개를 던집니다. 적 챔피언이 닿으면 ?초 동안 속박시키고 폭발하여 주변 적들에게 ?의 마법 피해를 입힙니다.,JinxR.png,초강력 초토화 로켓!,"[75, 65, 55]",100,25000,"징크스가 로켓을 발사합니다. 로켓은 발사 후 첫 1초 동안 피해량이 커지며, 적 챔피언을 맞히면 폭발하여 ?~?+대상이 잃은 체력의 ?%에 해당하는 물리 피해를 입힙니다. 주변 적들은 ?%의 피해를 입습니다.몬스터를 상대로는 잃은 체력 비례 피해량이 ?까지만 적용됩니다."
50,Kaisa,145,카이사,Kaisa_Passive.png,두 번째 피부,카이사는 기본 공격으로 플라즈마 중첩을 쌓아 그에 따른 추가 마법 피해를 입힙니다. 아군의 이동 불가 효과가 적에게 적용됐을 때에도 플라즈마 중첩이 쌓입니다. 살아있는 무기 효과는 카이사가 구입하는 아이템에 따라 스킬을 강화시킵니다.,KaisaQ.png,이케시아 폭우,"[10, 9, 8, 7, 6]",55,600,"카이사가 근처 적들을 추격하는 미사일을 ?개 발사하며, 적중한 적에게 각각 ?의 물리 피해를 입힙니다. 이미 미사일에 맞은 적 챔피언 또는 정글 몬스터에게 추가 적중할 경우 ?%의 피해를 입힙니다.진화 시: 미사일을 ?개 발사합니다.현재: 추가 공격력 ?/?",KaisaW.png,공허추적자,"[22, 20, 18, 16, 14]",55/60/65/70/75,3000,"카이사가 공허 에너지 광선을 발사해 ?의 마법 피해를 입히고 플라즈마 중첩을 ?회 적용하며, ?초 동안 처음으로 적중한 적에 대한 절대 시야를 얻습니다.진화 시: 플라즈마 중첩을 ?회 적용합니다. 챔피언 적중 시 재사용 대기시간이 ?% 감소합니다.현재: 주문력 ?/?",KaisaE.png,고속 충전,"[16, 14.5, 13, 11.5, 10]",30,1,"카이사가 공허 에너지를 고속 충전하여 이동 속도가 ? 증가하고 충전 중 유체화 상태가 되며, ?초 동안 공격 속도가 ?% 증가합니다.기본 공격 시 스킬의 재사용 대기시간이 ?초 감소합니다.진화 시: ?초 동안 투명 상태가 됩니다.현재: 추가 공격 속도 ?/?%",KaisaR.png,사냥본능,"[130, 100, 70]",100,1500/2250/3000,"카이사가 플라즈마 표식이 남은 적 챔피언 근처로 빠르게 돌진하며, ?초 동안 ?의 보호막을 얻습니다."
51,Kalista,429,칼리스타,Kalista_Passive.png,전투 태세,"칼리스타가 기본 공격이나 꿰뚫는 창의 준비 동작을 하는 동안 이동 명령을 하면, 칼리스타가 기본 공격과 함께 해당 위치로 도약합니다.",KalistaQ.png,꿰뚫는 창,"[8, 8, 8, 8, 8]",50/55/60/65/70,1150,칼리스타가 창을 던져 처음 적중한 대상에게 ?의 물리 피해를 입힙니다. 대상을 처치하면 창이 계속 뻗어나가 다음으로 적중한 대상에게 뽑아 찢기의 중첩을 적용합니다.칼리스타는 이 스킬을 사용한 후 전투 태세 효과로 도약할 수 있습니다.,KalistaW.png,감시하는 혼,"[30, 30, 30, 30, 30]",0,5000,"기본 지속 효과: 칼리스타와 계약자가 같은 대상을 기본 공격하면 칼리스타가 최대 체력의 ?%에 해당하는 마법 피해를 입힙니다. 대상 하나당 재사용 대기시간은 ?초입니다.사용 시: 칼리스타가 혼을 하나 보내 지정 영역을 정찰하게 합니다. 혼은 세 번 왕복하고 사라지며, 발각된 챔피언은 4초 동안 모습이 드러납니다. 충전 횟수는 2회이며 ?초마다 1회 충전됩니다.",KalistaE.png,뽑아 찢기,"[0, 0, 0, 0, 0]",30,1000,기본 지속 효과: 칼리스타의 창은 대상의 몸에 4초 동안 유지되며 무제한으로 중첩됩니다.사용 시: 칼리스타가 근처 적에게 박힌 창을 뜯어내며 ?+두 번째 창부터 창 하나당 ?의 물리 피해를 입힙니다. 적중당한 적은 ?초 동안 ?% 둔화됩니다.이 스킬로 대상을 처치하면 재사용 대기시간이 초기화되고 마나를 ? 돌려받습니다.,KalistaR.png,운명의 부름,"[150, 120, 90]",100,1000,"칼리스타가 계약자를 옆으로 끌어와 최대 4초간 경직 상태로 만듭니다. 계약자는 마우스를 클릭하여 지정한 위치로 날아갈 수 있습니다. 챔피언과 부딪치면 멈추며, 주변 적들을 뒤로 밀어냅니다. 계약자는 챔피언과 부딪치면 최대 공격 사거리만큼 밀려납니다."
52,Karma,43,카르마,Karma_Passive.png,열정 응집,카르마가 기본 공격 또는 스킬을 5회 사용하면 다음 스킬이 강화됩니다.,KarmaQ.png,내면의 열정,"[9, 8, 7, 6, 5]",45,950,"카르마가 에너지 구체를 발사하여 처음 적중한 대상과 그 주변 적들에게 ?의 마법 피해를 입히고, ?초 동안 ?% 둔화시킵니다.",KarmaW.png,굳은 결의,"[12, 12, 12, 12, 12]",50/55/60/65/70,675,카르마가 챔피언이나 정글 몬스터와 자신을 연결하여 ?의 마법 피해를 입히고 2초 동안 모습을 드러냅니다. 연결이 끊어지지 않으면 대상은 다시 ?의 피해를 입고 ?초 동안 속박됩니다.,KarmaE.png,고무,"[10, 9.5, 9, 8.5, 8]",50/55/60/65/70,800,카르마가 아군 챔피언에게 ?초 동안 ?의 피해를 흡수하는 보호막을 씌우고 ?초 동안 이동 속도를 ?% 상승시킵니다.,KarmaR.png,만트라,"[40, 38, 36, 34]",0,1100,"카르마가 8초 동안 다음 스킬을 강화합니다.내면의 열정: ?의 마법 피해를 추가로 입히고 원형의 불꽃을 남깁니다. 불꽃은 적들을 둔화시키고 ?의 피해를 추가로 입힙니다.  굳은 결의: 카르마가 지속시간 처음과 끝에 ?의 체력을 회복하고, ?초 더 속박합니다.고무: 카르마가 대상에게 피해를 ?만큼 더 흡수하는 보호막을 씌웁니다. 주변 아군에게도 ?%에 해당하는 보호막과 이동 속도 상승 효과를 부여합니다."
53,Karthus,30,카서스,Karthus_Passive.png,죽음 극복,카서스가 죽으면 영혼이 되어 스킬을 사용할 수 있습니다.,KarthusQ.png,황폐화,"[0, 0, 0, 0, 0]",20/25/30/35/40,875,카서스가 마법으로 폭발을 일으켜 ?의 마법 피해를 입힙니다. 하나의 적만 맞힐 경우 ?의 마법 피해를 입힙니다.,KarthusW.png,고통의 벽,"[15, 15, 15, 15, 15]",70,1000,카서스가 ?초 동안 유지되는 벽을 생성합니다. 벽을 지나는 적은 ?초간 마법 저항력이 ?% 감소하고 ?% 둔화됩니다. 둔화 효과는 시간이 지나면서 점차 사라집니다.,KarthusE.png,부패,"[0.5, 0.5, 0.5, 0.5, 0.5]",30/42/54/66/78,550,기본 지속 효과: 카서스가 적 유닛을 처치할 때마다 ?의 마나를 회복합니다.활성화/비활성화: 카서스가 죽음의 영역을 생성해 근처 적들에게 초당 ?의 마법 피해를 입힙니다.,KarthusR.png,진혼곡,"[200, 180, 160]",100,10000,카서스가 3초 동안 정신 집중을 하여 거리와 관계없이 모든 적 챔피언에게 ?의 마법 피해를 입힙니다.
